kp1,kp2,effort1,effort2,home_finger1,home_finger2,effort_score
d,f,0,0,d,f,0
j,k,0,0,j,k,0
r,d,1,0,f,d,1
u,k,1,0,j,k,1
d,g,0,1,d,f,1
d,j,0,0,d,j,1
d,k,0,0,d,k,1
d,v,0,1,d,f,1
f,j,0,0,f,j,1
f,k,0,0,f,k,1
h,k,1,0,j,k,1
k,m,0,1,k,j,1
e,f,1,0,d,f,2
r,j,1,0,f,j,2
r,k,1,0,f,k,2
t,d,2,0,f,d,2
y,k,2,0,j,k,2
u,d,1,0,j,d,2
u,f,1,0,j,f,2
i,j,1,0,k,j,2
s,d,0,0,s,d,2
s,f,0,0,s,f,2
d,h,0,1,d,j,2
d,b,0,2,d,f,2
d,m,0,1,d,j,2
f,h,0,1,f,j,2
f,c,0,1,f,d,2
f,m,0,1,f,j,2
g,j,1,0,f,j,2
g,k,1,0,f,k,2
j,l,0,0,j,l,2
j,v,0,1,j,f,2
j,",",0,1,j,k,2
k,l,0,0,k,l,2
k,v,0,1,k,f,2
k,n,0,2,k,j,2
e,r,1,1,d,f,3
e,g,1,1,d,f,3
e,j,1,0,d,j,3
e,k,1,0,d,k,3
e,v,1,1,d,f,3
r,u,1,1,f,j,3
r,s,1,0,f,s,3
r,h,1,1,f,j,3
r,c,1,1,f,d,3
r,m,1,1,f,j,3
t,j,2,0,f,j,3
t,k,2,0,f,k,3
y,d,2,0,j,d,3
y,f,2,0,j,f,3
u,i,1,1,j,k,3
u,g,1,1,j,f,3
u,l,1,0,j,l,3
u,v,1,1,j,f,3
u,",",1,1,j,k,3
i,d,1,0,k,d,3
i,f,1,0,k,f,3
i,h,1,1,k,j,3
i,m,1,1,k,j,3
a,d,0,0,a,d,3
a,f,0,0,a,f,3
s,g,0,1,s,f,3
s,j,0,0,s,j,3
s,k,0,0,s,k,3
s,v,0,1,s,f,3
d,l,0,0,d,l,3
d,n,0,2,d,j,3
d,",",0,1,d,k,3
f,l,0,0,f,l,3
f,n,0,2,f,j,3
f,",",0,1,f,k,3
